"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2026","1,351.30","1,344.50","1,357.60","1,327.00","5.83M","-1.53%"
"02-03-2026","1,372.30","1,369.10","1,384.70","1,353.60","5.13M","-0.84%"
"27-02-2026","1,383.90","1,387.00","1,395.50","1,381.00","5.84M","-0.83%"
"26-02-2026","1,395.50","1,403.00","1,405.70","1,386.00","8.98M","-0.53%"
"25-02-2026","1,403.00","1,394.00","1,404.30","1,387.60","4.38M","1.11%"
"24-02-2026","1,387.60","1,398.00","1,398.00","1,383.50","7.89M","0.06%"
"23-02-2026","1,386.70","1,380.50","1,402.00","1,380.20","6.16M","1.34%"
"20-02-2026","1,368.30","1,351.00","1,376.50","1,351.00","3.79M","0.86%"
"19-02-2026","1,356.60","1,381.10","1,382.80","1,351.00","2.74M","-1.48%"
"18-02-2026","1,377.00","1,363.00","1,378.50","1,353.80","5.56M","1.46%"
"17-02-2026","1,357.20","1,358.30","1,360.90","1,350.40","4.51M","-0.08%"
"16-02-2026","1,358.30","1,324.00","1,361.90","1,324.00","5.08M","1.95%"
"13-02-2026","1,332.30","1,341.30","1,346.50","1,316.10","4.62M","-0.57%"
"12-02-2026","1,340.00","1,347.90","1,357.70","1,336.20","4.15M","-0.54%"
"11-02-2026","1,347.30","1,358.00","1,360.00","1,344.80","3.87M","-0.69%"
"10-02-2026","1,356.70","1,352.60","1,360.10","1,343.30","5.48M","1.14%"
"09-02-2026","1,341.40","1,350.00","1,350.00","1,330.70","4.08M","-0.01%"
"06-02-2026","1,341.60","1,325.00","1,346.40","1,324.70","5.88M","0.83%"
"05-02-2026","1,330.60","1,340.00","1,340.00","1,317.40","3.77M","-0.61%"
"04-02-2026","1,338.70","1,369.70","1,369.90","1,336.60","6.67M","-1.29%"
"03-02-2026","1,356.20","1,403.00","1,418.30","1,345.50","10.38M","3.41%"
"02-02-2026","1,311.50","1,339.00","1,352.70","1,302.90","8.65M","-2.16%"
"01-02-2026","1,340.40","1,373.20","1,384.90","1,332.10","3.02M","-2.19%"
"30-01-2026","1,370.40","1,352.00","1,378.70","1,352.00","14.76M","0.49%"
"29-01-2026","1,363.70","1,318.00","1,367.00","1,306.00","16.11M","3.33%"
"28-01-2026","1,319.80","1,348.00","1,369.40","1,310.20","15.43M","0.30%"
"27-01-2026","1,315.80","1,288.80","1,333.20","1,278.40","22.72M","4.59%"
"23-01-2026","1,258.00","1,297.00","1,299.00","1,248.00","8.89M","-2.84%"
"22-01-2026","1,294.80","1,290.00","1,298.90","1,281.40","5.95M","0.77%"
"21-01-2026","1,284.90","1,290.00","1,297.70","1,267.40","3.85M","-0.66%"
"20-01-2026","1,293.50","1,306.10","1,310.90","1,290.00","6.27M","-1.07%"
"19-01-2026","1,307.50","1,307.00","1,327.00","1,297.10","8.83M","1.03%"
"16-01-2026","1,294.20","1,298.80","1,309.00","1,286.50","5.18M","-0.35%"
"14-01-2026","1,298.80","1,255.00","1,308.00","1,253.50","7.78M","2.92%"
"13-01-2026","1,262.00","1,274.00","1,284.00","1,258.70","5.16M","-0.96%"
"12-01-2026","1,274.20","1,274.70","1,279.60","1,266.50","6.49M","0.17%"
"09-01-2026","1,272.00","1,286.80","1,295.30","1,270.10","5.53M","-1.15%"
"08-01-2026","1,286.80","1,291.10","1,303.20","1,283.80","3.95M","-0.67%"
"07-01-2026","1,295.50","1,293.00","1,299.00","1,284.00","5.44M","0.13%"
"06-01-2026","1,293.80","1,304.60","1,304.60","1,285.40","6.75M","0.62%"
"05-01-2026","1,285.80","1,274.20","1,289.70","1,270.00","6.18M","1.49%"
"02-01-2026","1,266.90","1,273.90","1,281.80","1,264.30","5.86M","-0.59%"
"01-01-2026","1,274.40","1,270.00","1,279.20","1,263.80","2.02M","0.39%"
"31-12-2025","1,269.40","1,246.00","1,271.50","1,245.00","3.71M","1.88%"
"30-12-2025","1,246.00","1,233.00","1,252.10","1,232.00","5.67M","1.14%"
"29-12-2025","1,232.00","1,228.20","1,233.90","1,219.00","2.21M","0.31%"
"26-12-2025","1,228.20","1,225.00","1,229.90","1,222.00","1.67M","0.15%"
"24-12-2025","1,226.30","1,230.00","1,235.40","1,224.70","3.16M","0.11%"
"23-12-2025","1,225.00","1,239.00","1,239.00","1,223.50","2.92M","-0.66%"
"22-12-2025","1,233.20","1,235.00","1,236.90","1,226.80","2.41M","0.21%"
"19-12-2025","1,230.60","1,236.70","1,241.50","1,229.10","5.06M","0.07%"
"18-12-2025","1,229.80","1,226.10","1,238.50","1,220.20","3.44M","0.42%"
"17-12-2025","1,224.70","1,220.60","1,236.00","1,220.30","5.15M","0.42%"
"16-12-2025","1,219.60","1,277.10","1,277.60","1,216.90","11.54M","-5.07%"
"15-12-2025","1,284.80","1,285.00","1,290.40","1,280.00","1.63M","-0.10%"
"12-12-2025","1,286.10","1,278.00","1,291.00","1,277.90","2.28M","1.05%"
"11-12-2025","1,272.70","1,277.40","1,282.00","1,271.00","2.02M","-0.46%"
"10-12-2025","1,278.60","1,273.00","1,284.00","1,268.30","2.93M","0.21%"
"09-12-2025","1,275.90","1,272.00","1,281.40","1,263.20","4.24M","0.16%"
"08-12-2025","1,273.80","1,284.00","1,288.80","1,265.10","2.97M","-0.68%"
"05-12-2025","1,282.50","1,275.20","1,285.00","1,267.30","2.73M","0.20%"
"04-12-2025","1,280.00","1,270.70","1,282.80","1,269.40","3.22M","0.73%"
"03-12-2025","1,270.70","1,255.00","1,272.90","1,255.00","3.58M","1.01%"
"02-12-2025","1,258.00","1,270.70","1,281.00","1,255.10","8.12M","-1.39%"
"01-12-2025","1,275.70","1,288.00","1,289.00","1,268.50","4.10M","-0.31%"
"28-11-2025","1,279.70","1,287.30","1,289.00","1,275.00","3.09M","-0.59%"
"27-11-2025","1,287.30","1,297.00","1,304.00","1,281.00","5.92M","-0.22%"
"26-11-2025","1,290.20","1,271.90","1,292.80","1,269.30","4.84M","1.89%"
"25-11-2025","1,266.30","1,269.10","1,276.70","1,263.70","5.29M","-0.21%"
"24-11-2025","1,269.00","1,279.20","1,290.90","1,266.60","10.49M","-0.53%"
"21-11-2025","1,275.80","1,284.00","1,284.50","1,273.00","6.36M","-0.73%"
"20-11-2025","1,285.20","1,275.00","1,287.30","1,262.60","4.62M","1.16%"
"19-11-2025","1,270.40","1,268.00","1,273.00","1,257.80","4.10M","0.40%"
"18-11-2025","1,265.40","1,250.00","1,273.50","1,247.60","10.18M","1.26%"
"17-11-2025","1,249.60","1,243.90","1,261.00","1,240.40","4.09M","0.64%"
"14-11-2025","1,241.60","1,224.00","1,246.00","1,222.00","5.20M","1.34%"
"13-11-2025","1,225.20","1,219.00","1,234.80","1,213.20","3.35M","0.29%"
"12-11-2025","1,221.60","1,227.90","1,232.70","1,216.50","6.78M","-0.07%"
"11-11-2025","1,222.50","1,218.10","1,225.00","1,209.40","5.62M","0.45%"
"10-11-2025","1,217.00","1,222.00","1,232.80","1,215.50","4.14M","-0.47%"
"07-11-2025","1,222.80","1,227.00","1,228.80","1,217.00","3.46M","-0.46%"
"06-11-2025","1,228.50","1,225.00","1,239.60","1,225.00","3.73M","0.15%"
"04-11-2025","1,226.60","1,230.10","1,235.90","1,222.80","3.30M","-0.58%"
"03-11-2025","1,233.70","1,226.00","1,241.00","1,222.30","6.12M","0.07%"
"31-10-2025","1,232.80","1,243.00","1,245.40","1,231.00","4.11M","-0.47%"
"30-10-2025","1,238.60","1,243.00","1,248.00","1,235.00","4.02M","-0.82%"
"29-10-2025","1,248.80","1,246.90","1,251.00","1,239.20","4.58M","0.20%"
"28-10-2025","1,246.30","1,249.00","1,258.90","1,236.60","8.15M","-0.62%"
"27-10-2025","1,254.10","1,243.40","1,258.50","1,242.60","6.19M","0.98%"
"24-10-2025","1,241.90","1,254.20","1,256.00","1,240.10","4.88M","-1.34%"
"23-10-2025","1,258.80","1,246.00","1,276.10","1,241.30","14.61M","1.74%"
"21-10-2025","1,237.30","1,225.80","1,238.80","1,222.00","1.94M","0.92%"
"20-10-2025","1,226.00","1,207.90","1,231.70","1,207.00","7.42M","2.15%"
"17-10-2025","1,200.20","1,196.30","1,212.90","1,191.60","6.40M","0.33%"
"16-10-2025","1,196.30","1,216.40","1,216.90","1,185.30","17.75M","2.28%"
"15-10-2025","1,169.60","1,180.00","1,181.70","1,164.00","6.33M","-0.61%"
