"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2026","1,174.50","1,172.10","1,182.70","1,157.60","13.86M","-1.29%"
"02-03-2026","1,189.90","1,185.00","1,197.30","1,179.40","16.27M","-0.98%"
"27-02-2026","1,201.70","1,207.00","1,211.80","1,198.60","10.70M","-0.64%"
"26-02-2026","1,209.50","1,201.00","1,215.40","1,188.90","16.20M","0.78%"
"25-02-2026","1,200.10","1,228.10","1,228.10","1,197.50","19.58M","-1.90%"
"24-02-2026","1,223.30","1,232.00","1,234.70","1,219.70","15.79M","-0.37%"
"23-02-2026","1,227.80","1,222.00","1,231.10","1,217.10","9.73M","0.96%"
"20-02-2026","1,216.10","1,206.20","1,218.00","1,201.80","9.96M","0.86%"
"19-02-2026","1,205.70","1,222.90","1,224.90","1,199.20","9.63M","-1.08%"
"18-02-2026","1,218.90","1,218.80","1,224.10","1,214.00","10.42M","0.45%"
"17-02-2026","1,213.40","1,206.10","1,225.50","1,204.10","20.11M","0.44%"
"16-02-2026","1,208.10","1,194.00","1,212.30","1,185.30","14.97M","0.79%"
"13-02-2026","1,198.60","1,189.00","1,201.00","1,184.50","18.14M","0.52%"
"12-02-2026","1,192.40","1,183.00","1,203.70","1,174.80","33.21M","0.80%"
"11-02-2026","1,182.90","1,144.70","1,187.50","1,142.80","29.49M","3.39%"
"10-02-2026","1,144.10","1,151.00","1,154.00","1,138.10","17.28M","-0.17%"
"09-02-2026","1,146.00","1,120.00","1,150.00","1,100.50","40.85M","7.46%"
"06-02-2026","1,066.40","1,070.00","1,073.60","1,051.00","7.04M","-0.66%"
"05-02-2026","1,073.50","1,068.20","1,081.00","1,067.50","9.55M","0.50%"
"04-02-2026","1,068.20","1,064.20","1,073.90","1,056.30","7.31M","0.38%"
"03-02-2026","1,064.20","1,087.00","1,089.80","1,040.30","16.13M","3.45%"
"02-02-2026","1,028.70","1,019.90","1,031.30","990.00","14.43M","1.03%"
"01-02-2026","1,018.20","1,076.00","1,083.60","988.30","12.05M","-5.47%"
"30-01-2026","1,077.15","1,064.00","1,082.50","1,060.40","9.48M","1.03%"
"29-01-2026","1,066.20","1,063.00","1,075.00","1,060.30","14.80M","0.25%"
"28-01-2026","1,063.50","1,059.40","1,065.60","1,044.15","12.17M","0.98%"
"27-01-2026","1,053.15","1,034.10","1,055.00","1,030.25","14.42M","2.30%"
"23-01-2026","1,029.50","1,051.90","1,053.00","1,025.60","10.92M","-1.80%"
"22-01-2026","1,048.35","1,035.00","1,055.50","1,034.05","12.00M","1.92%"
"21-01-2026","1,028.65","1,032.00","1,040.60","1,022.00","7.41M","-0.75%"
"20-01-2026","1,036.40","1,039.75","1,052.00","1,033.05","8.91M","-0.19%"
"19-01-2026","1,038.40","1,035.00","1,043.60","1,034.00","5.46M","-0.37%"
"16-01-2026","1,042.30","1,032.00","1,047.45","1,028.40","11.05M","1.36%"
"14-01-2026","1,028.35","1,030.00","1,030.40","1,020.50","7.37M","-0.01%"
"13-01-2026","1,028.45","1,022.80","1,029.50","1,016.00","11.02M","1.31%"
"12-01-2026","1,015.15","1,008.00","1,017.25","996.00","7.62M","1.46%"
"09-01-2026","1,000.50","996.00","1,008.00","994.00","7.81M","0.25%"
"08-01-2026","998.00","1,006.60","1,011.60","995.85","6.85M","-0.91%"
"07-01-2026","1,007.15","1,022.70","1,022.70","1,004.00","7.90M","-1.15%"
"06-01-2026","1,018.90","1,007.95","1,024.00","1,004.95","9.58M","1.33%"
"05-01-2026","1,005.55","1,000.00","1,015.50","1,000.00","11.26M","0.66%"
"02-01-2026","998.95","984.50","1,009.50","983.95","7.36M","1.44%"
"01-01-2026","984.75","983.20","987.65","980.35","4.33M","0.26%"
"31-12-2025","982.20","975.25","985.65","973.50","5.81M","0.90%"
"30-12-2025","973.45","963.00","976.20","959.50","15.03M","0.87%"
"29-12-2025","965.05","966.90","968.90","961.45","5.27M","-0.13%"
"26-12-2025","966.30","968.95","971.00","964.75","3.29M","-0.27%"
"24-12-2025","968.95","973.20","977.30","967.50","4.11M","-0.30%"
"23-12-2025","971.90","976.30","977.55","970.70","5.12M","-0.25%"
"22-12-2025","974.30","981.10","983.00","972.55","5.96M","-0.61%"
"19-12-2025","980.30","979.95","982.00","977.05","5.38M","0.28%"
"18-12-2025","977.55","977.90","981.45","973.50","4.93M","0.17%"
"17-12-2025","975.85","965.55","978.50","964.30","8.01M","1.53%"
"16-12-2025","961.15","966.05","969.00","958.05","4.76M","-0.63%"
"15-12-2025","967.25","957.25","968.85","957.25","4.42M","0.43%"
"12-12-2025","963.15","966.00","967.00","958.00","5.68M","-0.01%"
"11-12-2025","963.25","962.10","966.50","958.45","5.98M","0.36%"
"10-12-2025","959.75","960.10","963.95","955.25","6.99M","0.04%"
"09-12-2025","959.35","954.80","964.00","950.45","9.58M","0.31%"
"08-12-2025","956.40","970.85","972.50","951.70","15.39M","-1.55%"
"05-12-2025","971.50","948.85","973.30","946.70","17.35M","2.47%"
"04-12-2025","948.10","951.05","952.55","944.45","13.62M","-0.31%"
"03-12-2025","951.05","970.45","972.55","947.55","14.05M","-1.68%"
"02-12-2025","967.30","976.00","980.45","964.90","13.44M","-0.60%"
"01-12-2025","973.10","985.45","991.20","969.85","8.81M","-0.60%"
"28-11-2025","979.00","976.80","983.00","973.05","8.12M","0.63%"
"27-11-2025","972.85","986.70","988.55","968.90","11.91M","-1.12%"
"26-11-2025","983.90","986.60","999.00","982.15","13.94M","0.03%"
"25-11-2025","983.60","975.55","988.95","971.35","9.14M","1.34%"
"24-11-2025","970.60","975.55","977.70","968.05","9.90M","-0.21%"
"21-11-2025","972.60","979.70","980.60","971.05","5.38M","-0.91%"
"20-11-2025","981.55","986.00","986.60","979.35","6.44M","-0.12%"
"19-11-2025","982.75","972.45","984.45","968.80","8.29M","1.06%"
"18-11-2025","972.45","975.60","976.70","968.85","6.59M","-0.09%"
"17-11-2025","973.35","971.00","976.00","968.50","7.42M","0.57%"
"14-11-2025","967.85","952.95","969.05","952.00","11.03M","1.45%"
"13-11-2025","954.00","954.25","963.95","952.45","8.89M","-0.33%"
"12-11-2025","957.15","957.70","961.55","951.40","7.04M","0.40%"
"11-11-2025","953.30","953.60","954.95","945.05","8.65M","0.23%"
"10-11-2025","951.15","956.00","963.20","949.10","7.34M","-0.49%"
"07-11-2025","955.85","958.75","964.85","944.00","13.37M","-0.51%"
"06-11-2025","960.75","969.65","971.40","955.30","23.09M","0.33%"
"04-11-2025","957.60","951.00","959.30","941.50","19.15M","0.83%"
"03-11-2025","949.70","938.75","953.40","937.50","11.74M","1.36%"
"31-10-2025","937.00","934.90","946.70","930.25","12.08M","0.28%"
"30-10-2025","934.35","939.45","944.90","933.05","13.04M","-0.57%"
"29-10-2025","939.75","933.90","942.05","930.25","12.31M","1.02%"
"28-10-2025","930.25","927.10","935.85","917.70","22.07M","0.81%"
"27-10-2025","922.75","906.95","928.00","906.00","9.15M","2.02%"
"24-10-2025","904.50","910.95","914.10","900.95","5.31M","-0.77%"
"23-10-2025","911.55","912.00","918.00","904.80","13.38M","0.41%"
"21-10-2025","907.85","908.00","910.00","906.40","1.78M","0.04%"
"20-10-2025","907.50","894.60","913.65","891.05","13.55M","2.06%"
"17-10-2025","889.15","887.50","894.75","883.00","8.51M","0.25%"
"16-10-2025","886.95","888.30","891.85","882.45","8.49M","0.10%"
"15-10-2025","886.10","878.10","887.50","877.05","8.27M","1.04%"
"14-10-2025","876.95","883.00","884.15","872.10","7.68M","-0.68%"
"13-10-2025","882.95","879.00","888.10","876.00","11.92M","0.26%"
"10-10-2025","880.65","862.10","883.75","861.30","13.71M","2.15%"
"09-10-2025","862.10","861.60","865.80","858.10","7.02M","0.45%"
"08-10-2025","858.25","866.80","867.80","857.25","7.16M","-0.75%"
"07-10-2025","864.70","874.15","877.00","863.00","9.24M","-1.07%"
"06-10-2025","874.05","868.00","875.30","862.80","7.82M","0.78%"
"03-10-2025","867.30","865.15","873.00","863.80","8.02M","0.37%"
"01-10-2025","864.10","872.30","876.45","862.80","10.83M","-0.96%"
"30-09-2025","872.45","869.95","877.60","867.60","12.83M","0.20%"
"29-09-2025","870.75","858.05","873.50","856.00","22.64M","1.61%"
"26-09-2025","856.95","862.00","864.35","853.00","6.96M","-0.49%"
"25-09-2025","861.15","866.55","870.15","859.95","8.68M","-0.58%"
"24-09-2025","866.20","876.00","880.50","864.45","12.84M","-0.51%"
"23-09-2025","870.60","854.60","874.25","851.20","14.36M","1.79%"
"22-09-2025","855.25","862.00","868.20","854.00","6.59M","-0.82%"
"19-09-2025","862.35","852.00","864.45","849.30","15.21M","0.94%"
"18-09-2025","854.35","858.65","860.80","851.10","10.40M","-0.33%"
"17-09-2025","857.15","834.30","858.15","831.00","17.24M","3.08%"
"16-09-2025","831.55","825.10","833.00","821.65","9.47M","0.82%"
"15-09-2025","824.75","823.55","827.80","821.10","3.85M","0.15%"
