"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2026","2,587.80","2,625.00","2,635.00","2,580.40","3.45M","-0.98%"
"02-03-2026","2,613.50","2,592.00","2,623.80","2,580.30","3.37M","-0.91%"
"27-02-2026","2,637.40","2,681.60","2,688.60","2,626.10","5.08M","-0.39%"
"26-02-2026","2,647.70","2,650.00","2,671.00","2,635.00","3.46M","0.70%"
"25-02-2026","2,629.30","2,596.00","2,654.20","2,595.00","3.62M","2.16%"
"24-02-2026","2,573.70","2,641.00","2,647.50","2,561.30","7.80M","-3.83%"
"23-02-2026","2,676.30","2,686.00","2,704.00","2,660.20","4.70M","-0.37%"
"20-02-2026","2,686.20","2,667.00","2,702.60","2,647.50","2.29M","0.31%"
"19-02-2026","2,677.90","2,708.00","2,748.70","2,666.60","3.24M","-0.63%"
"18-02-2026","2,694.90","2,730.00","2,730.00","2,657.30","2.95M","-0.83%"
"17-02-2026","2,717.40","2,716.00","2,760.00","2,695.20","4.21M","0.40%"
"16-02-2026","2,706.60","2,700.00","2,719.80","2,671.00","2.92M","0.53%"
"13-02-2026","2,692.20","2,585.00","2,713.00","2,585.00","11.17M","-2.11%"
"12-02-2026","2,750.10","2,869.80","2,880.00","2,740.00","10.61M","-5.49%"
"11-02-2026","2,909.80","2,980.00","2,998.00","2,904.20","3.36M","-2.51%"
"10-02-2026","2,984.60","2,949.80","3,011.60","2,943.50","3.55M","1.23%"
"09-02-2026","2,948.20","2,959.10","2,977.00","2,937.50","2.38M","0.22%"
"06-02-2026","2,941.60","2,976.60","2,985.00","2,916.00","4.69M","-1.67%"
"05-02-2026","2,991.50","2,990.00","3,029.70","2,972.30","3.52M","-0.25%"
"04-02-2026","2,999.10","3,120.00","3,120.00","2,986.00","10.85M","-7.01%"
"03-02-2026","3,225.30","3,350.00","3,350.00","3,186.30","4.37M","1.76%"
"02-02-2026","3,169.60","3,198.00","3,198.00","3,134.00","2.64M","-0.54%"
"01-02-2026","3,186.90","3,123.80","3,234.00","3,105.20","3.01M","2.02%"
"30-01-2026","3,123.90","3,141.00","3,141.00","3,092.00","3.02M","-0.65%"
"29-01-2026","3,144.40","3,200.10","3,200.10","3,125.60","2.46M","-1.74%"
"28-01-2026","3,200.10","3,176.00","3,205.20","3,170.60","2.75M","1.33%"
"27-01-2026","3,158.00","3,175.00","3,175.00","3,130.00","4.28M","-0.14%"
"23-01-2026","3,162.50","3,190.30","3,194.50","3,152.00","2.07M","0.38%"
"22-01-2026","3,150.40","3,150.00","3,160.00","3,122.30","2.27M","0.89%"
"21-01-2026","3,122.60","3,100.00","3,138.50","3,082.00","2.02M","0.65%"
"20-01-2026","3,102.30","3,151.60","3,160.00","3,091.10","4.50M","-1.94%"
"19-01-2026","3,163.60","3,188.00","3,220.00","3,152.10","3.39M","-1.34%"
"16-01-2026","3,206.70","3,219.40","3,221.90","3,171.00","4.29M","1.91%"
"14-01-2026","3,146.50","3,213.03","3,213.03","3,137.14","3.54M","-2.31%"
"13-01-2026","3,220.91","3,198.24","3,232.74","3,164.24","5.65M","0.88%"
"12-01-2026","3,192.92","3,156.85","3,205.14","3,128.56","2.23M","0.99%"
"09-01-2026","3,161.58","3,145.02","3,183.16","3,145.02","1.94M","-1.32%"
"08-01-2026","3,203.90","3,286.90","3,286.90","3,182.00","4.16M","-2.78%"
"07-01-2026","3,295.60","3,242.90","3,300.60","3,223.20","1.99M","1.22%"
"06-01-2026","3,255.80","3,210.00","3,263.20","3,205.00","2.91M","1.23%"
"05-01-2026","3,216.10","3,240.50","3,247.00","3,191.00","2.34M","-1.06%"
"02-01-2026","3,250.70","3,234.00","3,254.30","3,219.50","1.18M","0.72%"
"01-01-2026","3,227.40","3,215.00","3,234.10","3,198.20","1.26M","0.66%"
"31-12-2025","3,206.20","3,240.00","3,246.00","3,198.50","3.36M","-1.25%"
"30-12-2025","3,246.80","3,250.00","3,267.50","3,239.50","2.81M","-0.14%"
"29-12-2025","3,251.50","3,280.00","3,288.00","3,242.90","2.08M","-0.87%"
"26-12-2025","3,280.00","3,313.10","3,320.00","3,271.80","1.18M","-1.18%"
"24-12-2025","3,319.00","3,304.10","3,327.10","3,296.10","1.37M","0.27%"
"23-12-2025","3,310.00","3,319.90","3,319.90","3,293.50","2.37M","-0.45%"
"22-12-2025","3,324.90","3,310.00","3,328.60","3,291.00","2.63M","1.31%"
"19-12-2025","3,282.00","3,299.00","3,317.90","3,278.80","3.90M","0.04%"
"18-12-2025","3,280.80","3,228.00","3,287.80","3,221.00","2.31M","1.96%"
"17-12-2025","3,217.80","3,200.50","3,236.90","3,200.50","1.38M","0.40%"
"16-12-2025","3,205.10","3,220.00","3,220.00","3,191.10","1.73M","-0.78%"
"15-12-2025","3,230.20","3,211.10","3,238.20","3,197.30","1.56M","0.30%"
"12-12-2025","3,220.50","3,197.70","3,223.00","3,185.70","1.15M","0.90%"
"11-12-2025","3,191.90","3,205.00","3,208.40","3,153.10","1.91M","0.08%"
"10-12-2025","3,189.20","3,225.00","3,225.00","3,178.10","1.39M","-0.60%"
