"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2026","2,076.50","2,104.60","2,104.60","2,037.50","1.59M","-2.26%"
"02-03-2026","2,124.60","2,093.00","2,147.90","2,073.70","2.13M","-1.72%"
"27-02-2026","2,161.80","2,210.00","2,216.40","2,153.00","1.43M","-2.46%"
"26-02-2026","2,216.40","2,230.00","2,232.40","2,200.10","915.34K","-0.69%"
"25-02-2026","2,231.70","2,193.20","2,237.30","2,180.10","1.47M","2.23%"
"24-02-2026","2,183.00","2,168.60","2,204.70","2,162.20","1.15M","-0.37%"
"23-02-2026","2,191.00","2,180.00","2,203.00","2,155.30","1.10M","1.40%"
"20-02-2026","2,160.80","2,160.00","2,174.40","2,152.10","738.45K","0.19%"
"19-02-2026","2,156.70","2,218.90","2,218.90","2,151.00","1.10M","-2.46%"
"18-02-2026","2,211.20","2,254.00","2,254.00","2,188.10","1.15M","-1.41%"
"17-02-2026","2,242.90","2,170.00","2,252.00","2,170.00","1.93M","2.67%"
"16-02-2026","2,184.60","2,124.20","2,190.90","2,103.20","1.82M","2.25%"
"13-02-2026","2,136.60","2,210.00","2,210.00","2,124.20","1.49M","-3.40%"
"12-02-2026","2,211.80","2,229.00","2,229.50","2,201.00","649.59K","-1.01%"
"11-02-2026","2,234.40","2,232.90","2,237.70","2,215.10","682.32K","0.27%"
"10-02-2026","2,228.40","2,259.00","2,268.30","2,171.00","1.67M","-0.96%"
"09-02-2026","2,250.10","2,250.00","2,288.00","2,240.00","1.65M","1.06%"
"06-02-2026","2,226.40","2,226.10","2,238.00","2,200.40","933.65K","-0.46%"
"05-02-2026","2,236.60","2,232.00","2,243.70","2,210.00","992.38K","0.38%"
"04-02-2026","2,228.20","2,220.00","2,246.00","2,189.20","2.05M","1.16%"
"03-02-2026","2,202.60","2,150.00","2,233.40","2,131.10","6.92M","10.38%"
"02-02-2026","1,995.40","1,956.60","2,002.20","1,934.00","1.23M","2.71%"
"01-02-2026","1,942.80","2,021.00","2,039.80","1,931.00","1.80M","-3.84%"
"30-01-2026","2,020.40","2,005.00","2,038.80","1,992.20","1.23M","0.06%"
"29-01-2026","2,019.20","1,999.80","2,029.10","1,972.00","1.39M","1.23%"
"28-01-2026","1,994.70","1,985.00","2,004.00","1,952.00","2.07M","1.80%"
"27-01-2026","1,959.50","1,909.00","1,973.90","1,893.00","5.45M","5.11%"
"23-01-2026","1,864.20","2,080.50","2,082.50","1,848.00","7.49M","-10.65%"
"22-01-2026","2,086.40","2,055.90","2,102.90","2,051.00","942.72K","2.67%"
"21-01-2026","2,032.20","2,056.50","2,068.20","2,004.10","1.35M","-1.11%"
"20-01-2026","2,055.10","2,134.00","2,139.90","2,040.00","1.16M","-3.72%"
"19-01-2026","2,134.60","2,155.00","2,156.80","2,123.00","749.50K","-1.05%"
"16-01-2026","2,157.30","2,162.80","2,193.90","2,152.10","758.47K","0.19%"
"14-01-2026","2,153.30","2,156.00","2,169.00","2,142.00","618.14K","-0.24%"
"13-01-2026","2,158.50","2,187.80","2,187.80","2,141.10","791.56K","-0.60%"
"12-01-2026","2,171.60","2,156.60","2,180.00","2,119.00","1.26M","0.83%"
"09-01-2026","2,153.70","2,214.10","2,216.00","2,145.00","1.57M","-2.72%"
"08-01-2026","2,214.00","2,275.00","2,275.90","2,205.00","792.80K","-2.64%"
"07-01-2026","2,274.10","2,265.00","2,284.00","2,243.00","529.45K","0.66%"
"06-01-2026","2,259.10","2,288.90","2,290.40","2,248.10","698.29K","-0.89%"
"05-01-2026","2,279.50","2,287.00","2,303.90","2,274.30","696.38K","-0.01%"
"02-01-2026","2,279.80","2,260.00","2,283.70","2,259.00","715.24K","0.88%"
"01-01-2026","2,260.00","2,249.00","2,287.40","2,241.00","1.05M","0.91%"
"31-12-2025","2,239.70","2,216.30","2,246.40","2,216.30","779.14K","1.13%"
"30-12-2025","2,214.70","2,204.80","2,219.00","2,195.00","935.03K","0.52%"
"29-12-2025","2,203.20","2,232.00","2,238.20","2,196.00","690.69K","-1.20%"
"26-12-2025","2,229.90","2,229.30","2,250.90","2,218.00","566.24K","0.32%"
"24-12-2025","2,222.70","2,250.00","2,258.80","2,217.40","825.69K","-1.16%"
"23-12-2025","2,248.80","2,272.50","2,273.60","2,245.00","450.11K","-0.65%"
"22-12-2025","2,263.50","2,260.00","2,274.00","2,245.90","599.20K","1.09%"
"19-12-2025","2,239.00","2,249.00","2,250.00","2,210.00","880.01K","0.44%"
"18-12-2025","2,229.30","2,236.40","2,245.00","2,211.10","508.24K","-0.14%"
"17-12-2025","2,232.50","2,247.60","2,255.00","2,221.00","651.51K","-0.69%"
"16-12-2025","2,247.90","2,270.00","2,276.80","2,232.10","654.71K","-1.36%"
"15-12-2025","2,278.90","2,282.40","2,300.00","2,273.00","573.03K","-0.15%"
"12-12-2025","2,282.40","2,277.70","2,296.80","2,270.20","929.20K","0.21%"
"11-12-2025","2,277.70","2,225.00","2,293.90","2,192.40","1.52M","2.99%"
"10-12-2025","2,211.60","2,255.80","2,267.50","2,204.10","935.15K","-1.50%"
"09-12-2025","2,245.20","2,216.20","2,257.00","2,178.40","1.23M","1.31%"
"08-12-2025","2,216.20","2,265.40","2,270.40","2,205.00","939.76K","-2.17%"
"05-12-2025","2,265.40","2,217.90","2,268.60","2,202.90","2.40M","2.14%"
"04-12-2025","2,217.90","2,188.00","2,231.70","2,183.40","2.52M","1.28%"
"03-12-2025","2,189.80","2,240.00","2,245.00","2,172.20","1.64M","-2.22%"
"02-12-2025","2,239.60","2,255.00","2,267.20","2,232.20","1.04M","-0.99%"
"01-12-2025","2,262.00","2,300.00","2,304.00","2,257.00","1.31M","-0.80%"
"28-11-2025","2,280.20","2,267.10","2,331.00","2,247.80","3.04M","1.12%"
"27-11-2025","2,255.00","2,310.00","2,320.50","2,243.00","1.47M","-2.59%"
"26-11-2025","2,315.00","2,321.20","2,357.00","2,310.00","1.03M","-0.77%"
"25-11-2025","2,332.90","2,400.90","2,407.70","2,325.30","2.22M","-2.76%"
"24-11-2025","2,399.20","2,426.20","2,432.30","2,393.10","691.42K","-0.95%"
"21-11-2025","2,422.30","2,450.00","2,456.20","2,418.00","547.54K","-0.97%"
"20-11-2025","2,446.10","2,450.10","2,478.90","2,440.40","1.53M","0.53%"
"19-11-2025","2,433.10","2,446.50","2,449.90","2,413.90","774.79K","-0.15%"
"18-11-2025","2,436.80","2,462.00","2,478.60","2,434.30","1.25M","-1.02%"
"17-11-2025","2,462.00","2,460.00","2,474.90","2,421.00","2.67M","0.90%"
"14-11-2025","2,440.00","2,423.71","2,475.77","2,405.29","4.64M","1.15%"
"13-11-2025","2,412.27","2,425.65","2,447.95","2,392.79","2.79M","-2.91%"
"12-11-2025","2,484.50","2,384.00","2,517.50","2,361.00","6.69M","8.28%"
"11-11-2025","2,294.58","2,295.74","2,306.31","2,267.14","654.13K","-0.16%"
"10-11-2025","2,298.36","2,308.25","2,315.13","2,291.86","577.43K","-3.00%"
"07-11-2025","2,369.40","2,315.00","2,402.50","2,291.40","2.23M","2.38%"
"06-11-2025","2,314.30","2,425.10","2,427.10","2,307.60","1.98M","-4.36%"
"04-11-2025","2,419.80","2,479.80","2,488.90","2,390.60","2.07M","-1.91%"
"03-11-2025","2,467.00","2,484.00","2,501.90","2,457.50","731.11K","-0.56%"
"31-10-2025","2,481.00","2,535.00","2,543.50","2,464.90","848.64K","-1.82%"
"30-10-2025","2,526.90","2,550.00","2,559.40","2,511.80","783.33K","-0.41%"
"29-10-2025","2,537.40","2,500.00","2,600.00","2,495.50","1.53M","1.72%"
"28-10-2025","2,494.40","2,495.00","2,516.00","2,479.10","626.99K","0.06%"
"27-10-2025","2,492.80","2,504.20","2,514.60","2,487.10","478.06K","-0.46%"
"24-10-2025","2,504.20","2,554.80","2,554.80","2,497.70","473.77K","-1.63%"
"23-10-2025","2,545.80","2,559.90","2,577.80","2,540.90","852.45K","-0.16%"
"21-10-2025","2,549.90","2,554.90","2,562.00","2,542.30","101.02K","0.07%"
