"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2026","945.10","967.00","967.00","941.30","8.96M","-3.39%"
"02-03-2026","978.25","971.00","990.40","968.00","8.49M","-1.77%"
"27-02-2026","995.90","1,008.95","1,014.90","993.10","8.15M","-1.68%"
"26-02-2026","1,012.95","1,020.75","1,031.20","1,006.05","4.34M","-0.79%"
"25-02-2026","1,021.05","1,028.00","1,034.00","1,013.40","3.18M","-0.24%"
"24-02-2026","1,023.55","1,026.30","1,028.75","1,010.30","6.61M","-0.72%"
"23-02-2026","1,031.00","1,032.45","1,046.00","1,029.05","9.45M","0.08%"
"20-02-2026","1,030.20","1,015.90","1,036.60","1,008.75","6.92M","1.29%"
"19-02-2026","1,017.05","1,024.00","1,024.50","1,007.00","9.87M","-0.66%"
"18-02-2026","1,023.80","1,014.55","1,025.70","1,007.05","4.93M","0.95%"
"17-02-2026","1,014.15","1,012.75","1,016.35","1,004.00","2.91M","0.14%"
"16-02-2026","1,012.75","1,023.05","1,029.30","1,003.30","4.46M","-1.17%"
"13-02-2026","1,024.75","995.00","1,032.00","992.80","21.61M","2.57%"
"12-02-2026","999.10","968.30","1,002.00","965.00","10.35M","3.11%"
"11-02-2026","968.95","965.30","974.50","961.40","3.60M","0.35%"
"10-02-2026","965.60","983.15","985.15","961.30","6.17M","-1.79%"
"09-02-2026","983.15","988.00","988.00","971.60","4.85M","0.15%"
"06-02-2026","981.70","973.95","986.50","966.10","13.74M","1.76%"
"05-02-2026","964.75","964.00","968.50","953.00","6.02M","0.15%"
"04-02-2026","963.30","965.00","975.70","944.15","17.49M","-0.11%"
"03-02-2026","964.40","960.00","972.80","941.90","15.26M","6.72%"
"02-02-2026","903.70","887.00","909.40","887.00","11.87M","0.15%"
"01-02-2026","902.35","930.80","935.00","888.55","3.83M","-2.96%"
"30-01-2026","929.85","928.35","938.00","925.15","10.15M","-0.57%"
"29-01-2026","935.15","935.15","939.80","923.70","6.43M","0.00%"
"28-01-2026","935.15","914.70","936.90","914.70","6.05M","2.24%"
"27-01-2026","914.70","930.00","931.95","907.70","15.31M","-1.42%"
"23-01-2026","927.85","942.85","951.40","926.30","6.54M","-1.59%"
"22-01-2026","942.85","947.00","947.00","934.25","5.52M","0.70%"
"21-01-2026","936.25","925.00","947.30","921.00","5.38M","0.33%"
"20-01-2026","933.20","975.70","975.70","927.90","9.00M","-3.74%"
"19-01-2026","969.45","950.50","972.90","948.85","7.00M","2.02%"
"16-01-2026","950.25","940.20","963.00","936.80","10.71M","0.45%"
"14-01-2026","945.95","947.00","953.90","943.15","4.45M","-0.32%"
"13-01-2026","949.00","950.00","955.85","939.00","6.77M","-0.30%"
"12-01-2026","951.90","958.80","961.40","939.85","5.64M","-0.80%"
"09-01-2026","959.60","970.10","983.00","953.70","7.60M","-1.27%"
"08-01-2026","971.95","968.50","978.35","965.30","4.41M","0.33%"
"07-01-2026","968.80","973.05","976.45","965.05","7.05M","-0.87%"
"06-01-2026","977.35","978.00","987.00","973.30","8.38M","-0.14%"
"05-01-2026","978.75","979.70","999.15","975.00","10.56M","-1.18%"
"02-01-2026","990.45","972.90","994.20","960.60","6.21M","1.78%"
"01-01-2026","973.10","988.20","989.00","969.00","7.12M","-1.39%"
"31-12-2025","986.80","990.00","994.20","978.40","9.90M","-0.25%"
"30-12-2025","989.30","994.10","997.60","987.10","7.47M","-0.87%"
"29-12-2025","998.00","1,003.00","1,003.90","989.60","6.72M","-0.20%"
"26-12-2025","1,000.00","1,011.70","1,011.70","998.00","5.21M","-1.16%"
"24-12-2025","1,011.70","1,011.00","1,037.40","1,006.00","5.98M","0.03%"
"23-12-2025","1,011.40","1,013.50","1,018.00","1,005.70","4.71M","0.36%"
"22-12-2025","1,007.80","1,008.30","1,015.40","1,005.00","3.92M","-0.05%"
"19-12-2025","1,008.30","1,003.20","1,014.00","1,002.50","5.13M","0.80%"
"18-12-2025","1,000.30","1,002.10","1,009.70","995.00","3.10M","0.07%"
"17-12-2025","999.60","1,000.00","1,011.20","995.30","4.70M","0.12%"
"16-12-2025","998.40","1,007.50","1,010.60","996.50","3.86M","-1.41%"
"15-12-2025","1,012.70","1,015.00","1,016.50","1,008.00","3.96M","-0.45%"
"12-12-2025","1,017.30","1,000.00","1,020.80","1,000.00","4.38M","1.08%"
"11-12-2025","1,006.40","1,011.90","1,020.50","1,000.10","4.67M","-0.39%"
"10-12-2025","1,010.30","1,016.00","1,021.70","1,007.30","4.99M","-0.63%"
"09-12-2025","1,016.70","1,025.00","1,026.00","1,013.70","5.97M","-0.95%"
"08-12-2025","1,026.40","1,048.00","1,049.80","1,023.00","5.19M","-2.06%"
"05-12-2025","1,048.00","1,028.90","1,061.00","1,026.50","13.12M","1.84%"
"04-12-2025","1,029.10","1,018.00","1,032.30","1,016.00","5.40M","0.75%"
"03-12-2025","1,021.40","1,021.00","1,026.30","1,014.20","5.90M","-0.40%"
"02-12-2025","1,025.50","1,014.50","1,036.00","1,013.90","6.71M","0.43%"
"01-12-2025","1,021.10","1,041.90","1,042.00","1,018.80","6.46M","-1.58%"
"28-11-2025","1,037.50","1,038.00","1,043.50","1,031.00","4.98M","0.36%"
"27-11-2025","1,033.80","1,015.60","1,044.90","1,010.90","12.08M","2.29%"
"26-11-2025","1,010.70","986.20","1,012.80","981.30","9.77M","2.48%"
"25-11-2025","986.20","995.00","996.90","984.50","6.38M","-0.78%"
"24-11-2025","994.00","1,005.00","1,009.30","990.00","9.57M","-1.01%"
"21-11-2025","1,004.10","1,020.00","1,027.60","1,001.50","6.30M","-2.38%"
"20-11-2025","1,028.60","1,015.00","1,031.70","1,007.30","5.46M","2.29%"
"19-11-2025","1,005.60","1,009.00","1,016.10","1,004.60","5.16M","-0.79%"
"18-11-2025","1,013.60","1,021.20","1,024.10","1,011.70","4.56M","-1.29%"
"17-11-2025","1,026.80","1,021.00","1,033.00","1,017.00","6.01M","0.81%"
"14-11-2025","1,018.50","1,004.90","1,019.90","1,002.60","4.38M","1.30%"
"13-11-2025","1,005.40","1,012.50","1,019.40","1,003.50","8.50M","-0.77%"
"12-11-2025","1,013.20","1,011.00","1,018.40","1,008.80","11.13M","0.80%"
"11-11-2025","1,005.20","1,043.70","1,043.70","997.00","23.76M","-7.35%"
"10-11-2025","1,085.00","1,066.60","1,088.00","1,062.90","5.69M","1.73%"
"07-11-2025","1,066.60","1,039.00","1,076.90","1,034.20","6.94M","2.37%"
"06-11-2025","1,041.90","1,037.00","1,052.80","1,035.00","5.78M","-1.43%"
"04-11-2025","1,057.00","1,040.00","1,060.40","1,035.00","6.20M","1.33%"
