"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2026","1,905.90","1,861.10","1,920.00","1,815.30","20.57M","1.75%"
"02-03-2026","1,873.20","1,850.10","1,895.90","1,847.90","11.79M","-0.32%"
"27-02-2026","1,879.30","1,910.00","1,915.00","1,870.10","13.75M","-2.61%"
"26-02-2026","1,929.60","1,914.00","1,935.00","1,904.50","10.80M","0.85%"
"25-02-2026","1,913.40","1,955.00","1,961.80","1,904.00","8.29M","-1.42%"
"24-02-2026","1,941.00","1,997.30","1,997.30","1,921.80","10.01M","-2.82%"
"23-02-2026","1,997.30","1,994.00","2,000.50","1,983.90","3.73M","1.01%"
"20-02-2026","1,977.40","1,981.10","1,993.70","1,971.00","5.18M","-0.56%"
"19-02-2026","1,988.60","2,032.00","2,032.00","1,974.80","4.71M","-1.64%"
"18-02-2026","2,021.80","2,020.10","2,028.60","2,015.00","2.18M","0.07%"
"17-02-2026","2,020.30","2,028.00","2,038.50","2,014.20","4.47M","-0.45%"
"16-02-2026","2,029.40","2,010.00","2,032.20","1,995.00","3.46M","1.23%"
"13-02-2026","2,004.70","2,013.90","2,024.20","1,992.00","4.81M","-0.49%"
"12-02-2026","2,014.50","2,019.20","2,027.00","2,009.10","7.44M","0.12%"
"11-02-2026","2,012.10","2,012.90","2,021.00","1,996.70","7.42M","0.04%"
"10-02-2026","2,011.30","2,052.00","2,057.00","2,008.40","9.08M","-1.32%"
"09-02-2026","2,038.20","2,051.20","2,055.20","2,028.70","7.57M","-0.01%"
"06-02-2026","2,038.40","1,994.00","2,049.70","1,988.50","13.87M","2.31%"
"05-02-2026","1,992.40","2,012.00","2,022.90","1,985.00","7.71M","-1.65%"
"04-02-2026","2,025.80","2,008.00","2,034.60","1,998.40","7.46M","1.43%"
"03-02-2026","1,997.30","2,050.00","2,050.00","1,980.10","6.92M","1.62%"
"02-02-2026","1,965.40","1,936.10","1,969.80","1,926.50","5.33M","0.84%"
"01-02-2026","1,949.00","1,968.70","1,976.40","1,901.00","2.93M","-1.00%"
"30-01-2026","1,968.70","1,925.60","1,974.00","1,925.60","7.68M","0.04%"
"29-01-2026","1,967.90","1,964.00","1,970.50","1,939.00","6.07M","0.52%"
"28-01-2026","1,957.70","1,995.00","1,995.00","1,939.00","9.43M","-0.80%"
"27-01-2026","1,973.40","1,972.10","2,003.80","1,962.70","10.51M","-0.57%"
"23-01-2026","1,984.70","2,009.00","2,011.70","1,980.10","4.34M","-0.87%"
"22-01-2026","2,002.20","2,008.80","2,018.90","1,990.00","6.72M","0.31%"
"21-01-2026","1,996.10","1,977.00","2,007.10","1,967.00","7.95M","0.01%"
"20-01-2026","1,996.00","2,018.00","2,018.00","1,977.10","6.08M","-0.70%"
"19-01-2026","2,010.00","2,023.00","2,023.00","1,996.30","4.27M","-0.32%"
"16-01-2026","2,016.40","2,020.00","2,029.70","1,988.70","7.31M","-0.30%"
"14-01-2026","2,022.50","2,015.10","2,034.00","2,008.70","4.84M","-0.22%"
"13-01-2026","2,026.90","2,047.00","2,049.90","2,014.90","7.39M","-0.84%"
"12-01-2026","2,044.00","2,023.50","2,048.80","2,001.30","4.69M","0.83%"
"09-01-2026","2,027.10","2,070.20","2,084.00","2,023.20","4.17M","-1.90%"
"08-01-2026","2,066.30","2,088.00","2,092.00","2,055.00","5.53M","-0.86%"
"07-01-2026","2,084.20","2,095.60","2,103.80","2,077.00","4.17M","-1.00%"
"06-01-2026","2,105.30","2,106.80","2,121.80","2,087.50","9.12M","0.01%"
"05-01-2026","2,105.00","2,102.10","2,112.10","2,096.50","2.64M","-0.06%"
"02-01-2026","2,106.30","2,108.00","2,125.00","2,098.00","2.93M","-0.19%"
"01-01-2026","2,110.40","2,114.80","2,123.90","2,107.00","2.10M","0.23%"
"31-12-2025","2,105.60","2,096.00","2,121.00","2,090.10","2.99M","0.28%"
"30-12-2025","2,099.80","2,077.00","2,102.80","2,071.60","6.98M","0.87%"
"29-12-2025","2,081.60","2,105.40","2,112.70","2,079.40","2.37M","-1.13%"
"26-12-2025","2,105.40","2,123.00","2,123.00","2,101.80","1.30M","-0.86%"
