"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2026","311.95","310.60","315.50","310.50","24.17M","-0.94%"
"02-03-2026","314.90","307.00","315.75","307.00","22.19M","0.41%"
"27-02-2026","313.60","316.00","317.75","312.65","13.89M","-1.48%"
"26-02-2026","318.30","320.00","321.40","317.60","11.27M","-0.45%"
"25-02-2026","319.75","325.50","326.60","318.10","13.49M","-1.16%"
"24-02-2026","323.50","324.00","325.40","322.05","13.14M","-0.58%"
"23-02-2026","325.40","327.00","328.10","324.40","13.49M","-0.49%"
"20-02-2026","327.00","325.05","327.85","325.05","11.28M","0.31%"
"19-02-2026","326.00","334.05","334.25","325.00","19.91M","-1.94%"
"18-02-2026","332.45","326.00","332.95","324.80","35.47M","2.15%"
"17-02-2026","325.45","318.45","328.05","318.15","39.36M","2.36%"
"16-02-2026","317.95","313.75","318.25","313.15","11.69M","1.34%"
"13-02-2026","313.75","316.00","318.40","313.25","8.73M","-1.17%"
"12-02-2026","317.45","317.30","320.40","316.90","13.29M","-0.25%"
"11-02-2026","318.25","321.95","322.20","316.30","24.84M","-0.98%"
"10-02-2026","321.40","323.00","323.55","320.75","11.49M","-0.43%"
"09-02-2026","322.80","327.95","328.70","321.65","20.06M","-0.92%"
"06-02-2026","325.80","310.00","327.70","308.30","68.06M","5.03%"
"05-02-2026","310.20","313.95","315.35","309.30","15.82M","-1.16%"
"04-02-2026","313.85","312.50","314.95","311.35","11.20M","-0.88%"
"03-02-2026","316.65","321.20","324.75","311.60","33.17M","0.62%"
"02-02-2026","314.70","309.45","315.40","302.00","35.23M","1.70%"
"01-02-2026","309.45","324.60","324.60","306.05","33.28M","-3.94%"
"30-01-2026","322.15","318.80","325.15","316.45","41.98M","1.11%"
"29-01-2026","318.60","322.60","322.60","318.05","17.72M","-0.79%"
"28-01-2026","321.15","319.95","323.70","319.35","28.40M","0.78%"
"27-01-2026","318.65","323.60","324.70","317.85","47.85M","-1.47%"
"23-01-2026","323.40","325.55","326.40","322.70","11.95M","-0.45%"
"22-01-2026","324.85","326.10","328.70","321.05","18.62M","0.03%"
"21-01-2026","324.75","326.00","329.30","324.35","14.18M","-0.48%"
"20-01-2026","326.30","334.05","334.50","325.50","18.77M","-2.07%"
"19-01-2026","333.20","330.00","334.65","327.30","15.51M","1.22%"
"16-01-2026","329.20","337.50","337.50","328.55","30.53M","-1.66%"
"14-01-2026","334.75","336.00","336.00","333.45","14.91M","0.01%"
"13-01-2026","334.70","339.00","339.50","333.70","24.92M","-1.09%"
"12-01-2026","338.40","338.25","339.50","335.80","16.16M","0.37%"
"09-01-2026","337.15","340.90","341.00","336.10","35.19M","-1.10%"
"08-01-2026","340.90","341.50","345.15","339.05","36.71M","-0.10%"
"07-01-2026","341.25","343.00","344.55","339.30","29.44M","-0.35%"
"06-01-2026","342.45","350.25","350.70","337.75","72.58M","-2.07%"
"05-01-2026","349.70","350.20","353.95","346.05","48.36M","-0.10%"
"02-01-2026","350.05","360.00","360.00","345.25","118.79M","-3.79%"
"01-01-2026","363.85","402.70","402.70","362.70","282.63M","-9.71%"
"31-12-2025","403.00","401.10","403.75","400.85","9.95M","0.60%"
"30-12-2025","400.60","403.00","403.45","400.30","12.34M","-0.50%"
"29-12-2025","402.60","404.10","404.80","401.45","6.65M","-0.38%"
"26-12-2025","404.15","406.50","407.15","403.85","3.15M","-0.60%"
"24-12-2025","406.60","407.95","409.50","405.65","5.78M","-0.18%"
"23-12-2025","407.35","402.50","408.90","401.80","10.08M","1.15%"
"22-12-2025","402.70","401.60","403.65","401.20","6.85M","0.41%"
"19-12-2025","401.05","400.25","402.65","400.25","10.65M","0.16%"
"18-12-2025","400.40","400.00","401.95","399.85","7.23M","0.15%"
"17-12-2025","399.80","401.00","403.10","399.10","8.09M","-0.47%"
"16-12-2025","401.70","401.40","405.75","401.05","12.35M","-0.15%"
"15-12-2025","402.30","400.10","403.35","399.50","7.76M","0.55%"
"12-12-2025","400.10","402.90","404.00","399.85","12.41M","-0.69%"
"11-12-2025","402.90","403.15","404.00","401.10","6.98M","-0.06%"
"10-12-2025","403.15","401.10","404.40","401.00","6.97M","0.52%"
"09-12-2025","401.05","402.00","404.50","400.00","9.43M","-0.31%"
"08-12-2025","402.30","404.95","405.25","400.55","6.06M","-0.65%"
"05-12-2025","404.95","403.05","405.35","402.00","4.42M","0.47%"
"04-12-2025","403.05","400.10","403.55","399.05","8.06M","0.64%"
"03-12-2025","400.50","401.70","402.20","398.85","10.77M","-0.11%"
"02-12-2025","400.95","404.25","405.50","400.50","8.09M","-0.82%"
"01-12-2025","404.25","402.80","405.50","398.20","13.44M","0.00%"
"28-11-2025","404.25","404.30","405.00","402.50","6.88M","-0.01%"
"27-11-2025","404.30","403.50","405.95","402.10","8.68M","0.50%"
"26-11-2025","402.30","401.00","403.95","400.95","11.44M","0.37%"
"25-11-2025","400.80","403.55","404.50","400.10","8.20M","-0.68%"
"24-11-2025","403.55","408.40","408.80","402.85","11.04M","-1.05%"
"21-11-2025","407.85","405.00","408.50","404.70","5.81M","0.59%"
"20-11-2025","405.45","403.55","407.00","403.25","6.69M","0.47%"
"19-11-2025","403.55","404.85","405.55","402.80","7.88M","-0.57%"
"18-11-2025","405.85","408.25","409.80","404.55","7.66M","-0.31%"
"17-11-2025","407.10","409.75","412.00","406.00","7.86M","-0.26%"
"14-11-2025","408.15","404.70","408.75","400.10","64.02M","0.60%"
"13-11-2025","405.70","407.00","407.50","404.50","6.62M","-0.32%"
"12-11-2025","407.00","408.00","408.10","405.55","7.99M","0.04%"
"11-11-2025","406.85","406.00","408.05","404.60","12.01M","0.32%"
"10-11-2025","405.55","404.05","407.10","403.65","6.65M","0.37%"
"07-11-2025","404.05","406.05","409.10","403.10","8.41M","-0.85%"
"06-11-2025","407.50","410.00","413.30","406.55","10.10M","-0.34%"
"04-11-2025","408.90","414.00","414.50","408.35","10.09M","-1.22%"
"03-11-2025","413.95","419.95","421.65","413.30","7.64M","-1.52%"
