"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2026","3,264.30","3,240.00","3,278.10","3,207.90","4.54M","-2.10%"
"02-03-2026","3,334.30","3,299.90","3,374.90","3,283.00","3.00M","-1.86%"
"27-02-2026","3,397.40","3,460.00","3,488.10","3,381.10","3.77M","-2.50%"
"26-02-2026","3,484.60","3,505.00","3,507.00","3,461.60","2.00M","-0.19%"
"25-02-2026","3,491.30","3,435.00","3,500.90","3,425.40","2.27M","1.69%"
"24-02-2026","3,433.20","3,415.00","3,441.00","3,390.00","1.93M","-0.40%"
"23-02-2026","3,447.10","3,425.00","3,457.60","3,416.90","1.79M","1.01%"
"20-02-2026","3,412.80","3,443.00","3,449.90","3,402.50","2.26M","-0.55%"
"19-02-2026","3,431.80","3,534.90","3,546.50","3,421.30","2.48M","-2.80%"
"18-02-2026","3,530.50","3,491.10","3,545.00","3,483.20","1.68M","1.18%"
"17-02-2026","3,489.20","3,509.70","3,515.80","3,462.00","1.99M","-0.58%"
"16-02-2026","3,509.70","3,535.00","3,549.50","3,469.00","1.56M","-0.67%"
"13-02-2026","3,533.40","3,530.00","3,596.50","3,520.30","1.63M","-1.66%"
"12-02-2026","3,593.10","3,698.20","3,699.00","3,582.20","2.55M","-2.23%"
"11-02-2026","3,674.90","3,704.70","3,787.00","3,666.10","4.79M","-0.02%"
"10-02-2026","3,675.80","3,616.30","3,699.00","3,601.00","1.92M","1.83%"
"09-02-2026","3,609.60","3,593.80","3,619.10","3,557.10","1.29M","0.88%"
"06-02-2026","3,578.00","3,577.00","3,590.00","3,530.60","1.46M","0.17%"
"05-02-2026","3,572.00","3,592.00","3,598.80","3,528.10","1.25M","-0.06%"
"04-02-2026","3,574.00","3,549.00","3,620.00","3,519.10","2.40M","1.31%"
"03-02-2026","3,527.90","3,638.00","3,643.80","3,513.00","5.49M","1.87%"
"02-02-2026","3,463.20","3,355.00","3,472.10","3,343.70","2.95M","2.95%"
"01-02-2026","3,363.80","3,444.30","3,525.00","3,343.00","1.61M","-1.98%"
"30-01-2026","3,431.80","3,283.00","3,452.40","3,282.80","5.29M","1.40%"
"29-01-2026","3,384.40","3,449.20","3,479.60","3,321.00","5.59M","-1.88%"
"28-01-2026","3,449.20","3,379.00","3,456.90","3,376.00","3.96M","1.64%"
"27-01-2026","3,393.50","3,437.20","3,497.70","3,344.10","7.14M","-4.23%"
"23-01-2026","3,543.40","3,573.70","3,596.00","3,534.80","1.92M","-0.85%"
"22-01-2026","3,573.70","3,600.00","3,620.00","3,533.40","2.11M","0.57%"
"21-01-2026","3,553.30","3,543.00","3,586.70","3,517.10","1.59M","-0.12%"
"20-01-2026","3,557.50","3,646.00","3,677.50","3,540.00","1.75M","-2.73%"
"19-01-2026","3,657.40","3,689.00","3,689.00","3,614.00","1.72M","-0.02%"
"16-01-2026","3,658.20","3,650.10","3,729.90","3,650.10","2.09M","0.24%"
"14-01-2026","3,649.50","3,663.00","3,682.00","3,635.10","1.57M","-0.33%"
"13-01-2026","3,661.50","3,717.00","3,717.00","3,631.50","1.70M","-0.56%"
"12-01-2026","3,682.00","3,675.30","3,717.00","3,598.80","1.67M","0.13%"
"09-01-2026","3,677.30","3,712.10","3,748.50","3,667.10","1.24M","-1.25%"
"08-01-2026","3,724.00","3,730.00","3,756.80","3,693.20","1.26M","-0.66%"
"07-01-2026","3,748.80","3,800.00","3,808.60","3,718.50","1.05M","-0.97%"
"06-01-2026","3,785.60","3,788.00","3,819.10","3,758.10","1.30M","-0.12%"
"05-01-2026","3,790.30","3,805.90","3,839.90","3,785.00","1.57M","-0.32%"
"02-01-2026","3,802.40","3,759.90","3,812.00","3,743.20","1.48M","1.10%"
"01-01-2026","3,761.00","3,725.00","3,774.00","3,721.10","1.50M","1.40%"
"31-12-2025","3,709.20","3,653.00","3,723.60","3,640.40","1.87M","1.34%"
"30-12-2025","3,660.30","3,590.00","3,666.00","3,575.20","2.06M","1.90%"
"29-12-2025","3,592.10","3,622.70","3,640.20","3,588.10","1.03M","-0.86%"
"26-12-2025","3,623.10","3,636.70","3,647.00","3,614.60","829.91K","-0.37%"
"24-12-2025","3,636.70","3,624.60","3,658.00","3,612.10","842.90K","0.32%"
"23-12-2025","3,625.10","3,619.20","3,637.50","3,605.00","1.41M","0.23%"
"22-12-2025","3,616.70","3,600.00","3,625.00","3,576.90","1.40M","0.36%"
"19-12-2025","3,603.60","3,571.00","3,615.00","3,560.00","1.65M","0.47%"
"18-12-2025","3,586.60","3,600.00","3,611.90","3,540.10","2.45M","-0.73%"
"17-12-2025","3,612.80","3,647.90","3,647.90","3,594.00","1.21M","-0.23%"
"16-12-2025","3,621.00","3,581.00","3,633.50","3,577.90","1.39M","0.36%"
"15-12-2025","3,608.00","3,632.00","3,665.40","3,603.60","1.70M","-1.95%"
"12-12-2025","3,679.60","3,665.40","3,695.00","3,661.30","1.08M","0.39%"
"11-12-2025","3,665.20","3,623.40","3,669.10","3,615.90","981.46K","0.97%"
"10-12-2025","3,630.00","3,660.00","3,694.90","3,626.20","1.59M","-0.16%"
"09-12-2025","3,635.90","3,658.00","3,674.40","3,604.50","3.90M","-1.24%"
"08-12-2025","3,681.70","3,720.00","3,725.00","3,671.60","1.50M","-0.95%"
"05-12-2025","3,717.10","3,659.30","3,721.50","3,642.50","2.39M","1.24%"
"04-12-2025","3,671.60","3,675.00","3,678.20","3,620.20","1.98M","0.61%"
"03-12-2025","3,649.40","3,736.00","3,740.00","3,640.00","2.00M","-1.81%"
"02-12-2025","3,716.50","3,722.80","3,748.00","3,705.50","2.29M","-0.67%"
"01-12-2025","3,741.60","3,790.00","3,795.00","3,730.00","1.83M","-0.42%"
"28-11-2025","3,757.30","3,692.00","3,768.90","3,690.10","2.94M","2.07%"
"27-11-2025","3,681.20","3,701.50","3,717.60","3,665.00","1.99M","-0.14%"
"26-11-2025","3,686.40","3,681.00","3,708.00","3,669.30","2.12M","0.47%"
"25-11-2025","3,669.30","3,687.00","3,695.80","3,653.00","1.71M","-0.58%"
"24-11-2025","3,690.80","3,745.10","3,749.50","3,677.20","4.06M","-1.57%"
"21-11-2025","3,749.60","3,730.00","3,779.00","3,726.00","3.18M","0.89%"
"20-11-2025","3,716.70","3,744.80","3,759.00","3,711.10","1.82M","-0.16%"
"19-11-2025","3,722.50","3,695.00","3,746.50","3,667.80","1.63M","0.75%"
"18-11-2025","3,694.80","3,718.50","3,732.70","3,688.00","2.61M","-1.07%"
"17-11-2025","3,734.90","3,710.00","3,754.50","3,682.30","2.09M","0.98%"
"14-11-2025","3,698.60","3,700.00","3,716.80","3,660.50","1.85M","-0.02%"
"13-11-2025","3,699.50","3,748.20","3,754.10","3,690.20","1.60M","-1.46%"
"12-11-2025","3,754.30","3,761.00","3,781.00","3,740.00","1.98M","0.14%"
