"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2026","14,158.00","14,150.00","14,184.00","13,794.00","710.37K","-1.60%"
"02-03-2026","14,388.00","14,407.00","14,684.00","14,204.00","603.74K","-3.16%"
"27-02-2026","14,857.00","15,110.00","15,192.00","14,804.00","478.16K","-2.34%"
"26-02-2026","15,213.00","15,145.00","15,224.00","15,046.00","308.21K","0.95%"
"25-02-2026","15,070.00","14,860.00","15,133.00","14,837.00","356.50K","0.96%"
"24-02-2026","14,926.00","15,001.00","15,062.00","14,904.00","300.99K","-0.97%"
"23-02-2026","15,072.00","15,050.00","15,118.00","14,984.00","242.97K","0.63%"
"20-02-2026","14,977.00","14,903.00","15,077.00","14,848.00","515.85K","0.50%"
"19-02-2026","14,903.00","15,163.00","15,279.00","14,853.00","152.79K","-1.72%"
"18-02-2026","15,164.00","15,208.00","15,239.00","15,074.00","280.77K","-0.10%"
"17-02-2026","15,179.00","15,031.00","15,211.00","14,960.00","166.77K","0.85%"
"16-02-2026","15,051.00","15,237.00","15,299.00","14,960.00","210.18K","-1.22%"
"13-02-2026","15,237.00","15,309.00","15,434.00","15,190.00","208.65K","-0.58%"
"12-02-2026","15,326.00","15,459.00","15,459.00","15,265.00","201.90K","-0.56%"
"11-02-2026","15,412.00","15,180.00","15,432.00","15,174.00","360.74K","1.76%"
"10-02-2026","15,146.00","14,999.00","15,349.00","14,983.00","360.24K","1.12%"
"09-02-2026","14,978.00","15,125.00","15,126.00","14,905.00","200.03K","-0.13%"
"06-02-2026","14,997.00","15,084.00","15,118.00","14,871.00","276.53K","-0.41%"
"05-02-2026","15,059.00","15,090.00","15,150.00","14,900.00","374.76K","-0.08%"
"04-02-2026","15,071.00","14,800.00","15,170.00","14,723.00","451.07K","1.96%"
"03-02-2026","14,782.00","15,200.00","15,281.00","14,482.00","638.87K","2.77%"
"02-02-2026","14,384.00","14,251.00","14,446.00","14,058.00","621.51K","1.30%"
"01-02-2026","14,199.00","14,650.00","14,796.00","14,136.00","393.68K","-2.74%"
"30-01-2026","14,599.00","14,502.00","14,679.00","14,300.00","946.51K","0.67%"
"29-01-2026","14,502.00","14,870.00","14,870.00","14,353.00","716.55K","-2.52%"
"28-01-2026","14,877.00","15,161.00","15,294.00","14,431.00","1.58M","-2.41%"
"27-01-2026","15,245.00","15,300.00","15,387.00","15,013.00","565.77K","-1.45%"
"23-01-2026","15,469.00","15,819.00","15,846.00","15,439.00","338.67K","-1.88%"
"22-01-2026","15,765.00","15,950.00","15,971.00","15,714.00","352.32K","-0.03%"
"21-01-2026","15,770.00","15,675.00","15,973.00","15,675.00","345.74K","-0.69%"
"20-01-2026","15,879.00","16,200.00","16,233.00","15,850.00","289.61K","-1.84%"
"19-01-2026","16,176.00","15,859.00","16,242.00","15,813.00","385.14K","2.00%"
"16-01-2026","15,859.00","16,000.00","16,197.00","15,770.00","703.06K","-1.81%"
"14-01-2026","16,152.00","16,390.00","16,412.00","16,090.00","240.04K","-1.67%"
"13-01-2026","16,426.00","16,662.00","16,726.00","16,293.00","312.21K","-0.94%"
"12-01-2026","16,582.00","16,456.00","16,615.00","16,271.00","288.69K","0.49%"
"09-01-2026","16,501.00","16,663.00","16,704.00","16,417.00","286.30K","-0.98%"
"08-01-2026","16,664.00","16,808.00","16,808.00","16,541.00","238.42K","-0.86%"
"07-01-2026","16,809.00","17,230.00","17,249.00","16,524.00","427.98K","-2.79%"
"06-01-2026","17,292.00","17,170.00","17,306.00","17,142.00","192.18K","0.80%"
"05-01-2026","17,155.00","17,025.00","17,370.00","16,980.00","305.67K","1.15%"
