"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2026","1,245.30","1,259.70","1,270.00","1,240.00","1.11M","-2.69%"
"02-03-2026","1,279.70","1,261.90","1,288.00","1,261.30","1.16M","-0.93%"
"27-02-2026","1,291.70","1,311.10","1,322.90","1,286.00","1.64M","-2.00%"
"26-02-2026","1,318.00","1,329.20","1,329.20","1,310.60","438.95K","-0.41%"
"25-02-2026","1,323.40","1,328.00","1,334.80","1,315.00","991.40K","0.26%"
"24-02-2026","1,320.00","1,305.60","1,323.90","1,305.60","1.12M","0.37%"
"23-02-2026","1,315.10","1,299.00","1,318.50","1,295.50","933.58K","1.65%"
"20-02-2026","1,293.80","1,278.50","1,301.00","1,276.40","754.15K","1.20%"
"19-02-2026","1,278.50","1,299.80","1,300.00","1,271.90","659.36K","-1.72%"
"18-02-2026","1,300.90","1,286.60","1,303.40","1,278.00","446.02K","1.21%"
"17-02-2026","1,285.30","1,281.00","1,289.60","1,278.00","396.20K","-0.35%"
"16-02-2026","1,289.80","1,276.70","1,295.50","1,274.20","456.22K","0.56%"
"13-02-2026","1,282.60","1,305.00","1,310.40","1,278.00","522.59K","-1.75%"
"12-02-2026","1,305.50","1,312.10","1,312.10","1,295.10","534.67K","0.02%"
"11-02-2026","1,305.30","1,315.00","1,324.90","1,296.70","911.50K","-0.25%"
"10-02-2026","1,308.60","1,296.90","1,310.30","1,296.50","936.33K","1.00%"
"09-02-2026","1,295.60","1,301.00","1,307.00","1,290.30","746.30K","-0.59%"
"06-02-2026","1,303.30","1,291.10","1,305.20","1,278.70","835.65K","-0.02%"
"05-02-2026","1,303.50","1,304.80","1,310.60","1,287.00","854.89K","0.02%"
"04-02-2026","1,303.20","1,313.60","1,328.00","1,295.10","875.78K","-0.37%"
"03-02-2026","1,308.00","1,330.00","1,340.40","1,291.10","1.23M","-0.02%"
"02-02-2026","1,308.30","1,297.50","1,311.00","1,273.90","1.25M","2.01%"
"01-02-2026","1,282.50","1,320.00","1,331.80","1,265.00","1.10M","-3.75%"
"30-01-2026","1,332.40","1,286.00","1,339.60","1,283.00","5.29M","3.46%"
"29-01-2026","1,287.90","1,286.50","1,294.40","1,262.30","1.15M","-0.35%"
"28-01-2026","1,292.40","1,297.20","1,306.00","1,273.00","940.43K","-0.84%"
"27-01-2026","1,303.30","1,300.00","1,314.00","1,290.30","1.16M","0.73%"
"23-01-2026","1,293.80","1,310.00","1,311.90","1,290.30","744.22K","-0.93%"
"22-01-2026","1,306.00","1,285.90","1,312.00","1,272.30","994.36K","1.78%"
"21-01-2026","1,283.20","1,298.90","1,311.70","1,271.30","1.05M","-0.96%"
"20-01-2026","1,295.70","1,315.00","1,317.10","1,291.60","1.17M","-1.51%"
"19-01-2026","1,315.60","1,306.00","1,320.30","1,305.50","867.55K","-0.02%"
"16-01-2026","1,315.90","1,318.20","1,320.90","1,305.30","1.49M","0.67%"
"14-01-2026","1,307.10","1,321.00","1,328.20","1,302.20","904.11K","-0.88%"
"13-01-2026","1,318.70","1,312.40","1,321.90","1,309.00","1.32M","0.48%"
"12-01-2026","1,312.40","1,293.00","1,318.00","1,291.60","1.03M","1.02%"
"09-01-2026","1,299.10","1,306.90","1,310.80","1,290.10","1.19M","-0.60%"
"08-01-2026","1,306.90","1,309.10","1,315.10","1,299.00","555.82K","-0.60%"
"07-01-2026","1,314.80","1,312.50","1,332.70","1,304.20","676.67K","-0.39%"
"06-01-2026","1,319.90","1,319.00","1,323.50","1,298.40","866.15K","0.40%"
"05-01-2026","1,314.60","1,279.00","1,320.00","1,278.50","2.40M","2.73%"
"02-01-2026","1,279.70","1,292.00","1,299.00","1,277.60","736.47K","-1.18%"
