"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2026","365.80","370.75","373.85","364.10","11.43M","-3.11%"
"02-03-2026","377.55","365.00","378.95","365.00","14.73M","-1.14%"
"27-02-2026","381.90","381.00","385.20","380.15","11.55M","0.00%"
"26-02-2026","381.90","385.00","385.85","378.40","10.72M","-0.78%"
"25-02-2026","384.90","382.75","388.55","382.70","12.75M","0.56%"
"24-02-2026","382.75","374.95","385.00","373.55","20.77M","1.94%"
"23-02-2026","375.45","374.00","376.50","372.15","16.14M","0.67%"
"20-02-2026","372.95","362.80","373.65","362.70","16.74M","2.68%"
"19-02-2026","363.20","367.00","370.90","362.20","5.38M","-1.41%"
"18-02-2026","368.40","368.45","370.70","367.40","4.87M","0.00%"
"17-02-2026","368.40","368.75","369.50","366.05","4.44M","-0.19%"
"16-02-2026","369.10","362.60","369.65","362.50","6.29M","1.68%"
"13-02-2026","363.00","367.55","368.00","362.40","7.11M","-1.43%"
"12-02-2026","368.25","370.00","372.00","366.85","6.76M","-0.05%"
"11-02-2026","368.45","369.00","369.00","366.00","5.78M","0.42%"
"10-02-2026","366.90","361.90","368.15","361.25","8.32M","1.38%"
"09-02-2026","361.90","366.55","368.60","361.00","7.98M","-0.86%"
"06-02-2026","365.05","361.80","365.95","361.00","7.33M","-0.53%"
"05-02-2026","367.00","369.75","370.70","365.00","18.79M","-0.07%"
"04-02-2026","367.25","359.45","368.55","357.60","15.52M","2.43%"
"03-02-2026","358.55","365.95","365.95","353.80","11.56M","2.34%"
"02-02-2026","350.35","344.95","352.75","337.75","12.62M","1.62%"
"01-02-2026","344.75","356.00","360.80","337.50","13.98M","-3.16%"
"30-01-2026","356.00","359.00","359.35","351.10","22.64M","-0.60%"
"29-01-2026","358.15","350.00","360.50","347.30","20.62M","2.90%"
"28-01-2026","348.05","344.70","353.25","344.70","13.57M","0.97%"
"27-01-2026","344.70","340.50","346.50","337.05","12.20M","2.38%"
"23-01-2026","336.70","343.95","345.45","336.10","10.08M","-1.68%"
"22-01-2026","342.45","338.70","343.20","337.10","5.89M","1.11%"
"21-01-2026","338.70","338.80","341.60","336.80","6.95M","-0.01%"
"20-01-2026","338.75","343.00","348.30","337.70","7.72M","-1.34%"
"19-01-2026","343.35","343.50","347.95","342.05","9.97M","-0.87%"
"16-01-2026","346.35","352.65","354.05","345.40","14.28M","-0.79%"
"14-01-2026","349.10","338.90","350.50","337.45","20.39M","3.31%"
"13-01-2026","337.90","337.45","339.25","335.05","5.58M","0.13%"
"12-01-2026","337.45","336.75","340.65","333.70","9.41M","0.43%"
"09-01-2026","336.00","344.40","344.40","334.40","10.16M","-2.44%"
"08-01-2026","344.40","346.75","349.80","342.20","8.81M","-1.28%"
"07-01-2026","348.85","349.55","351.35","346.30","7.17M","-0.56%"
"06-01-2026","350.80","349.90","354.10","346.15","8.64M","0.06%"
"05-01-2026","350.60","350.35","354.80","348.40","18.25M","-0.43%"
"02-01-2026","352.10","336.80","353.00","335.95","23.13M","4.70%"
"01-01-2026","336.30","329.80","336.90","329.60","10.36M","2.05%"
"31-12-2025","329.55","324.75","330.65","324.70","8.50M","1.43%"
"30-12-2025","324.90","325.00","325.55","323.35","8.04M","-0.18%"
"29-12-2025","325.50","324.10","325.80","323.05","14.04M","0.43%"
"26-12-2025","324.10","322.55","325.75","322.30","4.17M","0.48%"
"24-12-2025","322.55","323.90","326.65","322.25","5.68M","-0.22%"
"23-12-2025","323.25","321.05","324.75","320.25","6.02M","0.80%"
"22-12-2025","320.70","319.95","323.65","319.50","8.93M","0.25%"
"19-12-2025","319.90","318.95","320.60","317.50","10.83M","0.44%"
"18-12-2025","318.50","322.00","322.15","317.00","5.55M","-0.86%"
"17-12-2025","321.25","320.00","322.40","319.55","5.04M","0.08%"
"16-12-2025","321.00","322.05","323.80","319.05","5.24M","-0.91%"
"15-12-2025","323.95","323.05","325.30","321.55","10.22M","-0.34%"
"12-12-2025","325.05","322.90","325.95","322.90","4.26M","0.76%"
"11-12-2025","322.60","321.65","323.45","319.15","6.32M","0.31%"
"10-12-2025","321.60","319.85","323.70","319.50","5.48M","0.55%"
"09-12-2025","319.85","317.45","321.40","315.55","7.15M","0.11%"
"08-12-2025","319.50","323.20","323.20","317.85","7.91M","-1.18%"
"05-12-2025","323.30","322.25","324.15","320.95","6.57M","0.11%"
"04-12-2025","322.95","322.90","324.30","321.10","5.97M","0.00%"
"03-12-2025","322.95","329.00","329.00","321.30","8.55M","-1.72%"
"02-12-2025","328.60","327.45","329.95","326.75","5.81M","0.46%"
"01-12-2025","327.10","327.10","328.25","325.45","6.94M","0.20%"
"28-11-2025","326.45","328.00","328.15","324.25","8.93M","-0.27%"
"27-11-2025","327.35","327.15","328.75","325.00","6.76M","0.38%"
"26-11-2025","326.10","324.30","327.80","324.00","7.10M","0.74%"
"25-11-2025","323.70","323.45","325.60","322.50","8.07M","0.08%"
"24-11-2025","323.45","326.70","327.10","322.05","13.72M","-0.98%"
"21-11-2025","326.65","326.85","328.40","325.00","6.14M","0.02%"
"20-11-2025","326.60","328.00","330.00","326.20","5.16M","0.00%"
"19-11-2025","326.60","328.95","328.95","325.05","6.94M","-0.56%"
"18-11-2025","328.45","329.05","329.75","327.15","6.78M","-0.53%"
"17-11-2025","330.20","329.00","331.45","328.55","6.28M","0.53%"
"14-11-2025","328.45","327.00","329.90","326.20","9.17M","0.46%"
"13-11-2025","326.95","327.15","329.95","325.55","7.28M","-0.06%"
"12-11-2025","327.15","327.50","328.25","325.55","6.85M","0.15%"
"11-11-2025","326.65","325.95","327.45","322.85","6.10M","0.37%"
"10-11-2025","325.45","326.10","328.25","324.00","5.25M","-0.20%"
"07-11-2025","326.10","324.40","327.10","320.85","8.58M","-0.17%"
"06-11-2025","326.65","332.05","332.95","324.60","11.59M","-1.19%"
"04-11-2025","330.60","335.40","336.00","329.70","11.89M","-1.37%"
"03-11-2025","335.20","336.85","337.50","333.40","10.24M","-0.52%"
"31-10-2025","336.95","345.00","345.00","335.60","18.65M","-2.38%"
"30-10-2025","345.15","349.00","349.00","343.45","6.72M","-0.68%"
"29-10-2025","347.50","339.25","350.00","339.15","15.42M","2.46%"
"28-10-2025","339.15","342.40","342.90","337.30","13.19M","-0.76%"
"27-10-2025","341.75","340.70","342.90","340.45","6.75M","0.63%"
"24-10-2025","339.60","342.45","343.25","338.15","7.58M","-0.89%"
"23-10-2025","342.65","343.80","345.20","341.05","8.71M","0.19%"
"21-10-2025","342.00","342.95","343.50","341.05","346.99K","0.01%"
"20-10-2025","341.95","341.40","344.45","340.30","6.90M","0.28%"
"17-10-2025","341.00","341.50","344.20","340.15","7.03M","-0.15%"
"16-10-2025","341.50","340.20","342.60","339.65","6.79M","0.66%"
"15-10-2025","339.25","336.95","341.75","336.75","8.12M","0.77%"
"14-10-2025","336.65","342.00","343.00","335.20","7.55M","-1.48%"
"13-10-2025","341.70","337.95","342.10","336.20","6.66M","0.59%"
"10-10-2025","339.70","336.00","341.95","335.95","8.97M","1.15%"
"09-10-2025","335.85","333.80","336.40","331.20","6.82M","0.61%"
"08-10-2025","333.80","339.25","339.25","332.30","13.22M","-1.24%"
"07-10-2025","338.00","339.10","341.40","336.85","16.13M","-0.32%"
"06-10-2025","339.10","340.60","341.80","335.65","8.44M","-0.85%"
"03-10-2025","342.00","340.25","343.50","338.75","8.51M","0.51%"
"01-10-2025","340.25","340.30","343.05","338.05","6.02M","-0.06%"
"30-09-2025","340.45","341.10","343.05","339.15","8.31M","-0.15%"
"29-09-2025","340.95","339.10","343.75","338.00","16.92M","0.90%"
"26-09-2025","337.90","340.50","340.75","336.45","6.34M","-0.76%"
"25-09-2025","340.50","349.30","350.80","340.00","13.23M","-2.04%"
"24-09-2025","347.60","343.30","350.40","342.25","14.65M","1.34%"
"23-09-2025","343.00","339.45","344.10","338.10","10.74M","1.12%"
"22-09-2025","339.20","339.15","340.35","336.85","6.97M","0.16%"
"19-09-2025","338.65","336.95","339.50","336.45","10.65M","0.50%"
"18-09-2025","336.95","337.00","337.60","334.10","6.50M","0.16%"
"17-09-2025","336.40","335.50","337.45","334.55","7.94M","0.40%"
"16-09-2025","335.05","331.20","335.80","331.20","8.78M","1.19%"
"15-09-2025","331.10","331.00","333.80","330.65","6.57M","-0.18%"
"12-09-2025","331.70","332.00","333.50","328.40","5.26M","0.20%"
"11-09-2025","331.05","326.45","333.50","326.00","10.31M","1.66%"
"10-09-2025","325.65","325.50","328.05","325.15","6.51M","0.48%"
"09-09-2025","324.10","327.60","328.15","323.65","9.74M","-0.80%"
"08-09-2025","326.70","328.75","330.95","326.35","5.24M","-0.61%"
"05-09-2025","328.70","330.05","331.80","325.95","5.68M","-0.41%"
"04-09-2025","330.05","333.50","334.90","329.30","7.93M","-1.26%"
"03-09-2025","334.25","336.50","338.00","333.50","10.78M","-0.61%"
"02-09-2025","336.30","331.10","338.25","331.10","9.22M","1.69%"
"01-09-2025","330.70","328.00","331.60","328.00","6.90M","0.96%"
"29-08-2025","327.55","331.00","331.50","327.00","11.81M","-0.98%"
"28-08-2025","330.80","331.25","332.90","328.70","10.49M","-0.72%"
"26-08-2025","333.20","336.15","337.40","331.75","13.11M","-1.38%"
"25-08-2025","337.85","337.05","341.40","337.05","7.14M","0.25%"
