"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2026","351.20","363.15","363.90","350.10","17.73M","-5.23%"
"02-03-2026","370.60","358.00","378.40","355.50","11.80M","-3.15%"
"27-02-2026","382.65","393.65","394.05","380.95","15.95M","-2.27%"
"26-02-2026","391.55","381.70","393.30","380.10","14.70M","2.54%"
"25-02-2026","381.85","378.00","385.60","376.10","7.75M","1.14%"
"24-02-2026","377.55","376.85","380.30","371.65","7.21M","-0.63%"
"23-02-2026","379.95","378.80","384.00","376.05","11.70M","0.52%"
"20-02-2026","378.00","375.70","379.70","374.50","6.32M","0.61%"
"19-02-2026","375.70","381.95","386.80","374.00","6.91M","-1.87%"
"18-02-2026","382.85","382.85","385.50","379.00","4.80M","0.00%"
"17-02-2026","382.85","376.10","383.60","373.55","7.84M","1.48%"
"16-02-2026","377.25","378.30","379.60","375.10","5.00M","-0.79%"
"13-02-2026","380.25","379.00","387.50","374.40","15.57M","-0.83%"
"12-02-2026","383.45","385.00","386.90","380.15","8.32M","-0.32%"
"11-02-2026","384.70","382.50","387.35","382.10","10.93M","1.41%"
"10-02-2026","379.35","378.00","382.50","376.75","8.92M","0.52%"
"09-02-2026","377.40","370.30","379.90","369.60","8.80M","2.14%"
"06-02-2026","369.50","365.00","381.80","361.00","23.12M","-1.24%"
"05-02-2026","374.15","375.00","375.60","364.30","14.01M","-0.35%"
"04-02-2026","375.45","372.50","377.60","368.45","10.14M","0.91%"
"03-02-2026","372.05","381.15","384.60","366.00","16.72M","2.52%"
"02-02-2026","362.90","344.65","364.50","341.10","19.65M","5.30%"
"01-02-2026","344.65","349.20","360.65","339.35","8.42M","-1.54%"
"30-01-2026","350.05","350.80","353.00","348.40","9.91M","-0.50%"
"29-01-2026","351.80","340.50","352.65","335.60","13.59M","3.33%"
"28-01-2026","340.45","341.90","346.60","337.05","9.43M","-0.03%"
"27-01-2026","340.55","340.00","345.00","335.90","12.51M","-1.13%"
"23-01-2026","344.45","347.10","351.00","342.15","8.35M","-0.82%"
"22-01-2026","347.30","344.45","351.75","343.10","10.71M","2.37%"
"21-01-2026","339.25","336.00","343.70","335.95","9.87M","0.41%"
"20-01-2026","337.85","344.85","346.60","336.75","11.54M","-1.79%"
"19-01-2026","344.00","353.60","353.60","338.35","14.36M","-2.71%"
"16-01-2026","353.60","349.70","359.70","349.65","10.74M","1.09%"
"14-01-2026","349.80","349.00","354.00","347.10","6.25M","0.01%"
"13-01-2026","349.75","350.65","351.90","345.60","7.53M","-0.23%"
"12-01-2026","350.55","352.95","354.15","347.65","9.77M","-1.02%"
"09-01-2026","354.15","358.00","359.75","352.20","8.02M","-1.47%"
