"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2026","4,204.40","4,205.00","4,238.30","4,083.50","1.02M","-1.54%"
"02-03-2026","4,270.30","4,288.80","4,330.00","4,193.00","770.59K","-1.32%"
"27-02-2026","4,327.50","4,341.60","4,352.00","4,311.80","1.15M","-0.35%"
"26-02-2026","4,342.60","4,330.00","4,352.20","4,307.00","520.99K","0.41%"
"25-02-2026","4,325.00","4,304.00","4,349.00","4,289.80","586.30K","0.71%"
"24-02-2026","4,294.50","4,240.40","4,300.00","4,235.00","491.13K","0.51%"
"23-02-2026","4,272.70","4,270.00","4,280.00","4,240.10","516.39K","0.86%"
"20-02-2026","4,236.40","4,200.50","4,252.10","4,200.20","532.17K","0.91%"
"19-02-2026","4,198.20","4,225.00","4,261.00","4,191.00","406.23K","-1.19%"
"18-02-2026","4,248.60","4,251.00","4,257.90","4,214.30","387.33K","0.29%"
"17-02-2026","4,236.40","4,167.10","4,244.90","4,155.00","464.12K","1.32%"
"16-02-2026","4,181.10","4,155.00","4,196.00","4,128.80","500.35K","0.05%"
"13-02-2026","4,179.20","4,267.30","4,271.80","4,164.80","524.76K","-2.26%"
"12-02-2026","4,275.80","4,232.40","4,286.40","4,182.30","998.51K","0.63%"
"11-02-2026","4,249.10","4,350.00","4,378.40","4,208.00","3.34M","-0.47%"
"10-02-2026","4,269.10","4,300.00","4,329.60","4,239.60","1.71M","0.27%"
"09-02-2026","4,257.80","4,200.20","4,269.40","4,155.00","1.09M","2.82%"
"06-02-2026","4,141.00","4,097.60","4,154.00","4,065.30","888.70K","1.06%"
"05-02-2026","4,097.60","4,152.30","4,152.30","4,063.10","693.64K","-1.12%"
"04-02-2026","4,144.00","4,087.00","4,160.00","4,066.20","917.28K","1.85%"
"03-02-2026","4,068.60","4,143.00","4,143.00","4,044.10","1.04M","2.92%"
"02-02-2026","3,953.20","4,000.00","4,000.00","3,893.30","1.27M","-0.81%"
"01-02-2026","3,985.30","3,988.00","4,143.50","3,870.40","1.11M","0.20%"
"30-01-2026","3,977.40","3,945.00","3,995.00","3,909.80","1.43M","0.96%"
"29-01-2026","3,939.70","3,960.80","3,968.60","3,843.10","1.15M","-0.89%"
"28-01-2026","3,975.20","4,002.00","4,025.80","3,964.90","809.02K","-0.55%"
"27-01-2026","3,997.00","4,021.80","4,040.00","3,955.00","1.76M","-0.62%"
"23-01-2026","4,021.80","4,025.10","4,063.30","3,980.00","1.02M","0.08%"
"22-01-2026","4,018.60","4,099.00","4,128.00","3,980.80","818.97K","-1.49%"
"21-01-2026","4,079.20","4,075.50","4,109.90","4,053.50","552.76K","0.09%"
"20-01-2026","4,075.50","4,155.00","4,155.00","4,064.30","586.16K","-1.66%"
"19-01-2026","4,144.10","4,165.70","4,207.40","4,129.10","365.91K","-1.26%"
"16-01-2026","4,196.90","4,221.50","4,236.40","4,181.10","686.95K","-0.58%"
"14-01-2026","4,221.50","4,241.90","4,283.00","4,211.00","998.69K","-0.42%"
"13-01-2026","4,239.20","4,231.60","4,267.60","4,210.00","770.71K","0.18%"
"12-01-2026","4,231.60","4,205.00","4,242.00","4,145.00","514.77K","0.71%"
"09-01-2026","4,201.80","4,231.00","4,279.00","4,183.10","883.12K","-1.11%"
"08-01-2026","4,249.00","4,273.20","4,303.20","4,239.00","1.06M","-0.57%"
"07-01-2026","4,273.20","4,225.00","4,312.10","4,202.00","3.50M","3.93%"
"06-01-2026","4,111.80","4,079.70","4,120.50","4,068.50","820.33K","0.79%"
"05-01-2026","4,079.70","4,051.70","4,094.00","4,046.00","629.27K","0.69%"
"02-01-2026","4,051.70","4,039.00","4,060.00","3,986.20","660.00K","0.06%"
"01-01-2026","4,049.30","4,063.70","4,068.00","4,035.70","444.68K","-0.05%"
"31-12-2025","4,051.50","3,984.00","4,061.90","3,975.10","1.36M","1.95%"
"30-12-2025","3,974.10","3,982.00","3,993.50","3,954.10","1.17M","-0.24%"
"29-12-2025","3,983.70","4,010.00","4,031.70","3,978.00","1.24M","-0.21%"
"26-12-2025","3,992.00","3,908.90","4,006.90","3,900.00","1.11M","2.12%"
"24-12-2025","3,909.30","3,925.80","3,935.00","3,900.00","399.23K","-0.42%"
"23-12-2025","3,925.80","3,933.80","3,956.30","3,916.40","445.66K","-0.20%"
"22-12-2025","3,933.80","3,940.00","3,950.80","3,917.10","569.52K","0.09%"
"19-12-2025","3,930.10","3,919.00","3,961.90","3,913.00","730.78K","0.28%"
"18-12-2025","3,919.30","3,900.00","3,924.00","3,890.10","516.55K","0.29%"
"17-12-2025","3,907.90","3,930.00","3,935.70","3,890.00","601.01K","-0.55%"
"16-12-2025","3,929.50","3,850.00","3,937.50","3,828.00","1.56M","1.64%"
"15-12-2025","3,866.20","3,861.30","3,876.40","3,850.00","332.34K","-0.36%"
"12-12-2025","3,880.20","3,844.80","3,894.80","3,831.90","547.87K","0.92%"
"11-12-2025","3,844.80","3,830.40","3,855.80","3,777.00","669.18K","-0.02%"
"10-12-2025","3,845.70","3,831.00","3,858.20","3,825.60","616.25K","-0.09%"
"09-12-2025","3,849.00","3,775.00","3,874.00","3,751.00","1.12M","2.18%"
"08-12-2025","3,767.00","3,796.30","3,825.00","3,758.10","545.86K","-1.21%"
"05-12-2025","3,813.30","3,777.00","3,828.00","3,777.00","508.45K","0.34%"
"04-12-2025","3,800.40","3,805.00","3,830.00","3,778.00","776.69K","-0.46%"
"03-12-2025","3,817.80","3,870.00","3,880.00","3,785.90","770.64K","-1.75%"
"02-12-2025","3,885.80","3,875.00","3,899.60","3,867.50","661.02K","-0.23%"
"01-12-2025","3,894.90","3,907.70","3,910.70","3,861.30","603.07K","-0.33%"
"28-11-2025","3,907.70","3,906.20","3,934.90","3,896.50","574.82K","0.11%"
"27-11-2025","3,903.30","3,900.60","3,927.00","3,875.10","542.24K","0.14%"
"26-11-2025","3,897.70","3,845.00","3,914.50","3,843.50","364.59K","1.11%"
"25-11-2025","3,855.10","3,874.40","3,908.40","3,845.00","680.37K","-0.50%"
"24-11-2025","3,874.30","3,915.50","3,937.20","3,865.00","1.26M","-0.77%"
"21-11-2025","3,904.20","3,901.00","3,925.00","3,882.10","383.31K","0.05%"
"20-11-2025","3,902.40","3,950.00","3,956.00","3,895.00","762.39K","-0.78%"
"19-11-2025","3,933.10","3,882.90","3,940.50","3,862.40","1.58M","1.39%"
"18-11-2025","3,879.20","3,865.00","3,900.00","3,841.60","849.97K","0.27%"
"17-11-2025","3,868.60","3,848.00","3,874.30","3,821.50","504.93K","1.03%"
"14-11-2025","3,829.20","3,839.20","3,854.70","3,800.00","575.05K","-0.26%"
"13-11-2025","3,839.20","3,860.00","3,867.90","3,817.00","668.62K","-0.31%"
"12-11-2025","3,851.10","3,838.00","3,877.00","3,804.20","805.03K","1.02%"
"11-11-2025","3,812.40","3,810.50","3,820.00","3,752.10","668.79K","0.25%"
"10-11-2025","3,803.00","3,788.00","3,815.00","3,769.30","599.57K","0.89%"
"07-11-2025","3,769.30","3,766.00","3,792.00","3,736.00","729.00K","-0.14%"
"06-11-2025","3,774.40","3,780.00","3,837.70","3,761.60","927.23K","-1.03%"
"04-11-2025","3,813.50","3,724.50","3,827.00","3,715.00","2.52M","2.39%"
"03-11-2025","3,724.50","3,730.00","3,762.00","3,667.30","1.12M","-0.59%"
"31-10-2025","3,746.70","3,758.90","3,783.00","3,739.50","900.99K","-0.11%"
"30-10-2025","3,750.70","3,745.00","3,773.90","3,720.10","544.15K","0.06%"
"29-10-2025","3,748.30","3,734.20","3,753.50","3,714.20","789.56K","0.84%"
"28-10-2025","3,717.00","3,750.00","3,770.00","3,688.10","1.48M","-0.61%"
"27-10-2025","3,739.80","3,714.00","3,753.90","3,710.00","856.12K","0.67%"
"24-10-2025","3,714.90","3,775.00","3,781.00","3,706.10","563.30K","-1.52%"
"23-10-2025","3,772.30","3,765.00","3,800.00","3,738.30","1.62M","1.16%"
"21-10-2025","3,729.00","3,737.20","3,746.00","3,719.00","156.31K","-0.22%"
